ABV,X,Y
1L7,10,2
PUC,8,10
HCR,4,14
DCA,"11,470,854","11,242,375"
IAD,"10,596,942","10,363,974"
RIC,"1,777,648","1,740,391"
ORF,"1,602,631","1,515,200"
ROA,"305,212","300,181"
CHO,"295,930","274,767"
PHF,"199,421","202,104"
LYH,"75,465","75,824"
NGU,"27,953","32,117"
SHD,"5,442","5,536"
LFI,"1,808","2,818"
HEF,554,98
JYO,101,19
MTV,24,6
RMN,16,5
VJI,11,0
CJR,9,9
BCB,6,4
OKV,6,6
PTB,6,0
JGG,5,0
LUA,4,0
MFV,3,4
FYJ,2,0
OFP,2,0
CPK,1,0
FCI,1,3
W63,1,0
STT,"729,382","706,098"
STX,"196,047","176,588"
VI22,"24,861","26,779"
VI32,"24,469","26,238"
BTV,"593,311","581,143"
RUT,"5,146","5,379"
MVL,265,54
6B0,42,25
DDH,24,9
MPV,18,0
4V8,13,7
EFK,7,2
VSF,4,33
SEA,"21,887,110","20,148,980"
GEG,"1,570,652","1,515,351"
BLI,"415,285","447,693"
PSC,"374,301","348,990"
YKM,"70,993","63,747"
PUW,"61,833","50,883"
EAT,"60,068","62,319"
ALW,"47,439","41,272"
WN22,"21,045","28,118"
BFI,"17,795","18,945"
FHR,"12,831","11,254"
ORS,"7,826","5,204"
TCM,"3,818","1,958"
S60,"3,543","5,573"
6S9,877,722
WA13,794,698
NUW,765,500
CLM,596,589
RNT,434,162
PAE,181,103
W39,145,"1,988"
MWH,112,760
W33,104,"2,555"
BVS,103,13
WA09,73,20
74S,70,80
WA18,52,14
OLM,44,0
W49,39,317
2S0,34,0
W28,28,17
S31,26,396
TIW,20,40
83Q,19,13
SFF,19,0
0S9,18,0
WA83,18,235
14S,9,0
S52,9,0
S97,9,0
S10,6,0
1S9,5,0
38WA,4,5
63S,4,15
S50,4,2
9W2,3,0
AWO,3,0
ELN,3,5
S23,3,0
S40,3,2
S43,3,8
VUO,3,1
4W8,2,0
CLS,2,0
PWT,2,5
S18,2,6
0S7,1,0
11S,1,0
3W7,1,0
OMK,1,2
SHN,1,0
MKE,"3,327,536","3,229,897"
MSN,"903,155","826,640"
GRB,"292,868","295,245"
ATW,"270,633","258,321"
CWA,"119,222","126,016"
LSE,"94,047","94,874"
EAU,"21,304","19,332"
RHI,"20,414","20,673"
OSH,387,175
JVL,326,197
C29,265,293
SBM,147,61
VOK,64,391
EGV,57,46
UES,44,242
57C,26,0
OEO,17,0
MWC,9,34
STE,9,0
ENW,8,90
BUU,7,1
MTW,7,5
RAC,7,8
SUE,7,11
ETB,5,4
AUW,4,60
DLL,4,1
AIG,3,282
FLD,3,3
ARV,2,0
PDC,2,0
LNL,1,0
AWK,503,630
CRW,"213,412","225,170"
HTS,"98,489","101,741"
CKB,"26,025","24,087"
MGW,"7,851","7,163"
LWB,"4,965","6,233"
PKB,"4,170","4,409"
BKW,"2,061","2,319"
BLF,3,0
W99,3,0
I18,2,2
HLG,1,0
MRB,1,2
JAC,"342,044","313,151"
CPR,"92,805","103,123"
COD,"40,340","33,278"
GCC,"28,383","30,502"
RKS,"16,110","17,657"
LAR,"15,957","14,741"
SHR,"9,211",344
RIW,"4,228","3,537"
CYS,"3,189","3,650"
WRL,387,762
SAA,31,26
PNA,5,9
DWX,3,4
EMM,3,5
FBR,3,2
BYG,2,1
DUB,2,0
